1 9.110 5 2.326 25 0.666 50 0.491 100 0.417 250 0.444 500 0.377 1000 0.325 10000 0.339
1 10.068 5 2.275 25 0.755 50 0.480 100 0.434 250 0.354 500 0.257 1000 0.289 10000 0.368
1 9.384 5 1.957 25 0.735 50 0.566 100 0.423 250 0.313 500 0.284 1000 0.285 10000 0.434
1 11.150 5 2.260 25 0.630 50 0.577 100 0.360 250 0.408 500 0.411 1000 0.300 10000 0.293
1 10.194 5 2.230 25 0.808 50 0.494 100 0.466 250 0.405 500 0.297 1000 0.348 10000 0.282
1 9.144 5 2.299 25 0.691 50 0.579 100 0.366 250 0.294 500 0.417 1000 0.264 10000 0.363
1 10.788 5 2.217 25 0.709 50 0.498 100 0.412 250 0.372 500 0.379 1000 0.278 10000 0.343
1 9.906 5 2.074 25 0.614 50 0.604 100 0.484 250 0.366 500 0.416 1000 0.311 10000 0.327
1 10.092 5 2.415 25 0.671 50 0.530 100 0.393 250 0.380 500 0.287 1000 0.279 10000 0.320
1 10.348 5 2.040 25 0.676 50 0.540 100 0.357 250 0.350 500 0.275 1000 0.272 10000 0.290
